model;cat;index;diff
FIN;1;1;0
FIN;1;2;2,47118224
FIN;1;3;2,91679445
FIN;1;4;2,86745947
FIN;1;5;3,03692084
FIN;1;6;2,85791571
FIN;1;7;2,2340466
FIN;1;8;3,4092886
FIN;1;9;3,30304459
FIN;1;10;3,20375851
FIN;1;11;3,05479778
FIN;1;12;3,06381538
FIN;1;13;2,65704551
FIN;2;1;2,47118224
FIN;2;2;0
FIN;2;3;2,78660759
FIN;2;4;2,96729509
FIN;2;5;3,29391922
FIN;2;6;2,78383752
FIN;2;7;2,4862496
FIN;2;8;2,95110846
FIN;2;9;3,68134757
FIN;2;10;3,45799902
FIN;2;11;3,28195318
FIN;2;12;3,06507718
FIN;2;13;2,86973336
FIN;3;1;2,91679445
FIN;3;2;2,78660759
FIN;3;3;0
FIN;3;4;2,94509283
FIN;3;5;3,14257283
FIN;3;6;3,06203641
FIN;3;7;2,74239948
FIN;3;8;2,91283894
FIN;3;9;3,11046603
FIN;3;10;3,8103775
FIN;3;11;3,46487038
FIN;3;12;3,39455501
FIN;3;13;3,14459337
FIN;4;1;2,86745947
FIN;4;2;2,96729509
FIN;4;3;2,94509283
FIN;4;4;0
FIN;4;5;2,86203896
FIN;4;6;2,88784331
FIN;4;7;2,73533329
FIN;4;8;3,01630489
FIN;4;9;3,03052409
FIN;4;10;3,01601525
FIN;4;11;3,68762764
FIN;4;12;3,42018031
FIN;4;13;3,0746383
FIN;5;1;3,03692084
FIN;5;2;3,29391922
FIN;5;3;3,14257283
FIN;5;4;2,86203896
FIN;5;5;0
FIN;5;6;2,63700444
FIN;5;7;2,71601641
FIN;5;8;3,08908121
FIN;5;9;2,82801018
FIN;5;10;3,15909358
FIN;5;11;3,03481259
FIN;5;12;3,6701992
FIN;5;13;3,18967488
FIN;6;1;2,85791571
FIN;6;2;2,78383752
FIN;6;3;3,06203641
FIN;6;4;2,88784331
FIN;6;5;2,63700444
FIN;6;6;0
FIN;6;7;2,12900388
FIN;6;8;2,53992328
FIN;6;9;2,72946493
FIN;6;10;2,84267288
FIN;6;11;2,73298104
FIN;6;12;2,71522044
FIN;6;13;2,81250226
FIN;7;1;2,2340466
FIN;7;2;2,4862496
FIN;7;3;2,74239948
FIN;7;4;2,73533329
FIN;7;5;2,71601641
FIN;7;6;2,12900388
FIN;7;7;0
FIN;7;8;2,32703767
FIN;7;9;2,59215612
FIN;7;10;2,5871842
FIN;7;11;2,38495295
FIN;7;12;2,31571482
FIN;7;13;1,99169309
FIN;8;1;3,4092886
FIN;8;2;2,95110846
FIN;8;3;2,91283894
FIN;8;4;3,01630489
FIN;8;5;3,08908121
FIN;8;6;2,53992328
FIN;8;7;2,32703767
FIN;8;8;0
FIN;8;9;2,4699989
FIN;8;10;2,90702259
FIN;8;11;2,86528672
FIN;8;12;2,70543785
FIN;8;13;2,65287595
FIN;9;1;3,30304459
FIN;9;2;3,68134757
FIN;9;3;3,11046603
FIN;9;4;3,03052409
FIN;9;5;2,82801018
FIN;9;6;2,72946493
FIN;9;7;2,59215612
FIN;9;8;2,4699989
FIN;9;9;0
FIN;9;10;2,6140516
FIN;9;11;2,77908398
FIN;9;12;3,05008244
FIN;9;13;2,87286879
FIN;10;1;3,20375851
FIN;10;2;3,45799902
FIN;10;3;3,8103775
FIN;10;4;3,01601525
FIN;10;5;3,15909358
FIN;10;6;2,84267288
FIN;10;7;2,5871842
FIN;10;8;2,90702259
FIN;10;9;2,6140516
FIN;10;10;0
FIN;10;11;2,61381817
FIN;10;12;2,82665981
FIN;10;13;2,71324973
FIN;11;1;3,05479778
FIN;11;2;3,28195318
FIN;11;3;3,46487038
FIN;11;4;3,68762764
FIN;11;5;3,03481259
FIN;11;6;2,73298104
FIN;11;7;2,38495295
FIN;11;8;2,86528672
FIN;11;9;2,77908398
FIN;11;10;2,61381817
FIN;11;11;0
FIN;11;12;2,50610547
FIN;11;13;2,55948645
FIN;12;1;3,06381538
FIN;12;2;3,06507718
FIN;12;3;3,39455501
FIN;12;4;3,42018031
FIN;12;5;3,6701992
FIN;12;6;2,71522044
FIN;12;7;2,31571482
FIN;12;8;2,70543785
FIN;12;9;3,05008244
FIN;12;10;2,82665981
FIN;12;11;2,50610547
FIN;12;12;0
FIN;12;13;2,18365466
FIN;13;1;2,65704551
FIN;13;2;2,86973336
FIN;13;3;3,14459337
FIN;13;4;3,0746383
FIN;13;5;3,18967488
FIN;13;6;2,81250226
FIN;13;7;1,99169309
FIN;13;8;2,65287595
FIN;13;9;2,87286879
FIN;13;10;2,71324973
FIN;13;11;2,55948645
FIN;13;12;2,18365466
FIN;13;13;0
FRA;1;1;0
FRA;1;2;2,10954986
FRA;1;3;2,3625679
FRA;1;4;2,5321839
FRA;1;5;2,45269093
FRA;1;6;2,41550839
FRA;1;7;2,06728342
FRA;1;8;2,88963318
FRA;1;9;2,84021998
FRA;1;10;2,76410699
FRA;1;11;2,62846449
FRA;1;12;2,53425015
FRA;1;13;2,26239475
FRA;2;1;2,10954986
FRA;2;2;0
FRA;2;3;2,28970041
FRA;2;4;2,49110343
FRA;2;5;2,69064861
FRA;2;6;2,39480002
FRA;2;7;2,26690429
FRA;2;8;2,61840051
FRA;2;9;3,16088164
FRA;2;10;2,936492
FRA;2;11;2,86848168
FRA;2;12;2,61479331
FRA;2;13;2,47786352
FRA;3;1;2,3625679
FRA;3;2;2,28970041
FRA;3;3;0
FRA;3;4;2,45254423
FRA;3;5;2,62155116
FRA;3;6;2,62424028
FRA;3;7;2,31743918
FRA;3;8;2,62713432
FRA;3;9;2,74784696
FRA;3;10;3,21212289
FRA;3;11;3,01512365
FRA;3;12;2,75529025
FRA;3;13;2,53730993
FRA;4;1;2,5321839
FRA;4;2;2,49110343
FRA;4;3;2,45254423
FRA;4;4;0
FRA;4;5;2,2960713
FRA;4;6;2,3430079
FRA;4;7;2,3108687
FRA;4;8;2,43541104
FRA;4;9;2,56419875
FRA;4;10;2,53569103
FRA;4;11;3,14164911
FRA;4;12;2,80818796
FRA;4;13;2,5708694
FRA;5;1;2,45269093
FRA;5;2;2,69064861
FRA;5;3;2,62155116
FRA;5;4;2,2960713
FRA;5;5;0
FRA;5;6;2,17256764
FRA;5;7;2,17260108
FRA;5;8;2,49734669
FRA;5;9;2,43230642
FRA;5;10;2,50313888
FRA;5;11;2,62652934
FRA;5;12;2,96437698
FRA;5;13;2,58768401
FRA;6;1;2,41550839
FRA;6;2;2,39480002
FRA;6;3;2,62424028
FRA;6;4;2,3430079
FRA;6;5;2,17256764
FRA;6;6;0
FRA;6;7;1,89502367
FRA;6;8;2,25346034
FRA;6;9;2,45771477
FRA;6;10;2,3291143
FRA;6;11;2,49090447
FRA;6;12;2,41542191
FRA;6;13;2,42608767
FRA;7;1;2,06728342
FRA;7;2;2,26690429
FRA;7;3;2,31743918
FRA;7;4;2,3108687
FRA;7;5;2,17260108
FRA;7;6;1,89502367
FRA;7;7;0
FRA;7;8;2,00395371
FRA;7;9;2,26308646
FRA;7;10;2,26452173
FRA;7;11;2,21870495
FRA;7;12;2,15431911
FRA;7;13;1,90784475
FRA;8;1;2,88963318
FRA;8;2;2,61840051
FRA;8;3;2,62713432
FRA;8;4;2,43541104
FRA;8;5;2,49734669
FRA;8;6;2,25346034
FRA;8;7;2,00395371
FRA;8;8;0
FRA;8;9;2,20135688
FRA;8;10;2,34263421
FRA;8;11;2,59945718
FRA;8;12;2,43976302
FRA;8;13;2,32342469
FRA;9;1;2,84021998
FRA;9;2;3,16088164
FRA;9;3;2,74784696
FRA;9;4;2,56419875
FRA;9;5;2,43230642
FRA;9;6;2,45771477
FRA;9;7;2,26308646
FRA;9;8;2,20135688
FRA;9;9;0
FRA;9;10;2,19549878
FRA;9;11;2,48064802
FRA;9;12;2,62879181
FRA;9;13;2,44809961
FRA;10;1;2,76410699
FRA;10;2;2,936492
FRA;10;3;3,21212289
FRA;10;4;2,53569103
FRA;10;5;2,50313888
FRA;10;6;2,3291143
FRA;10;7;2,26452173
FRA;10;8;2,34263421
FRA;10;9;2,19549878
FRA;10;10;0
FRA;10;11;2,25624496
FRA;10;12;2,41827614
FRA;10;13;2,37674073
FRA;11;1;2,62846449
FRA;11;2;2,86848168
FRA;11;3;3,01512365
FRA;11;4;3,14164911
FRA;11;5;2,62652934
FRA;11;6;2,49090447
FRA;11;7;2,21870495
FRA;11;8;2,59945718
FRA;11;9;2,48064802
FRA;11;10;2,25624496
FRA;11;11;0
FRA;11;12;2,18437126
FRA;11;13;2,23540323
FRA;12;1;2,53425015
FRA;12;2;2,61479331
FRA;12;3;2,75529025
FRA;12;4;2,80818796
FRA;12;5;2,96437698
FRA;12;6;2,41542191
FRA;12;7;2,15431911
FRA;12;8;2,43976302
FRA;12;9;2,62879181
FRA;12;10;2,41827614
FRA;12;11;2,18437126
FRA;12;12;0
FRA;12;13;1,86606705
FRA;13;1;2,26239475
FRA;13;2;2,47786352
FRA;13;3;2,53730993
FRA;13;4;2,5708694
FRA;13;5;2,58768401
FRA;13;6;2,42608767
FRA;13;7;1,90784475
FRA;13;8;2,32342469
FRA;13;9;2,44809961
FRA;13;10;2,37674073
FRA;13;11;2,23540323
FRA;13;12;1,86606705
FRA;13;13;0
RANDOM;1;1;0
RANDOM;1;2;2,16998827
RANDOM;1;3;2,64311964
RANDOM;1;4;2,97450186
RANDOM;1;5;3,11385375
RANDOM;1;6;2,96216832
RANDOM;1;7;2,65962649
RANDOM;1;8;3,45492903
RANDOM;1;9;3,76225998
RANDOM;1;10;3,66184715
RANDOM;1;11;3,73236521
RANDOM;1;12;3,83457358
RANDOM;1;13;3,83789989
RANDOM;2;1;2,16998827
RANDOM;2;2;0
RANDOM;2;3;2,17132126
RANDOM;2;4;2,85352196
RANDOM;2;5;3,16699675
RANDOM;2;6;3,00346164
RANDOM;2;7;2,75929901
RANDOM;2;8;3,39755825
RANDOM;2;9;3,8200653
RANDOM;2;10;3,81946911
RANDOM;2;11;3,83160974
RANDOM;2;12;3,84642001
RANDOM;2;13;3,87696824
RANDOM;3;1;2,64311964
RANDOM;3;2;2,17132126
RANDOM;3;3;0
RANDOM;3;4;2,1251881
RANDOM;3;5;2,6918497
RANDOM;3;6;2,81857689
RANDOM;3;7;2,71019563
RANDOM;3;8;3,08154419
RANDOM;3;9;3,42755808
RANDOM;3;10;3,76838077
RANDOM;3;11;3,8753341
RANDOM;3;12;3,85702525
RANDOM;3;13;3,85405145
RANDOM;4;1;2,97450186
RANDOM;4;2;2,85352196
RANDOM;4;3;2,1251881
RANDOM;4;4;0
RANDOM;4;5;1,78579431
RANDOM;4;6;2,42569414
RANDOM;4;7;2,62538583
RANDOM;4;8;2,90597535
RANDOM;4;9;2,98404487
RANDOM;4;10;3,36673328
RANDOM;4;11;3,7448002
RANDOM;4;12;3,91545538
RANDOM;4;13;3,84453421
RANDOM;5;1;3,11385375
RANDOM;5;2;3,16699675
RANDOM;5;3;2,6918497
RANDOM;5;4;1,78579431
RANDOM;5;5;0
RANDOM;5;6;1,94884939
RANDOM;5;7;2,44767725
RANDOM;5;8;2,71483665
RANDOM;5;9;2,71713829
RANDOM;5;10;3,14737911
RANDOM;5;11;3,55604818
RANDOM;5;12;3,83488802
RANDOM;5;13;3,78613632
RANDOM;6;1;2,96216832
RANDOM;6;2;3,00346164
RANDOM;6;3;2,81857689
RANDOM;6;4;2,42569414
RANDOM;6;5;1,94884939
RANDOM;6;6;0
RANDOM;6;7;1,88842279
RANDOM;6;8;2,40701462
RANDOM;6;9;2,68948941
RANDOM;6;10;2,98476538
RANDOM;6;11;3,21164062
RANDOM;6;12;3,39047992
RANDOM;6;13;3,48499843
RANDOM;7;1;2,65962649
RANDOM;7;2;2,75929901
RANDOM;7;3;2,71019563
RANDOM;7;4;2,62538583
RANDOM;7;5;2,44767725
RANDOM;7;6;1,88842279
RANDOM;7;7;0
RANDOM;7;8;1,92762637
RANDOM;7;9;2,56517276
RANDOM;7;10;2,7246648
RANDOM;7;11;2,80911291
RANDOM;7;12;2,84932617
RANDOM;7;13;2,91866746
RANDOM;8;1;3,45492903
RANDOM;8;2;3,39755825
RANDOM;8;3;3,08154419
RANDOM;8;4;2,90597535
RANDOM;8;5;2,71483665
RANDOM;8;6;2,40701462
RANDOM;8;7;1,92762637
RANDOM;8;8;0
RANDOM;8;9;1,87577416
RANDOM;8;10;2,64348467
RANDOM;8;11;3,03327472
RANDOM;8;12;3,13093477
RANDOM;8;13;3,17588637
RANDOM;9;1;3,76225998
RANDOM;9;2;3,8200653
RANDOM;9;3;3,42755808
RANDOM;9;4;2,98404487
RANDOM;9;5;2,71713829
RANDOM;9;6;2,68948941
RANDOM;9;7;2,56517276
RANDOM;9;8;1,87577416
RANDOM;9;9;0
RANDOM;9;10;2,11672772
RANDOM;9;11;2,89536368
RANDOM;9;12;3,27966812
RANDOM;9;13;3,31405385
RANDOM;10;1;3,66184715
RANDOM;10;2;3,81946911
RANDOM;10;3;3,76838077
RANDOM;10;4;3,36673328
RANDOM;10;5;3,14737911
RANDOM;10;6;2,98476538
RANDOM;10;7;2,7246648
RANDOM;10;8;2,64348467
RANDOM;10;9;2,11672772
RANDOM;10;10;0
RANDOM;10;11;2,15535537
RANDOM;10;12;2,86966954
RANDOM;10;13;3,09841996
RANDOM;11;1;3,73236521
RANDOM;11;2;3,83160974
RANDOM;11;3;3,8753341
RANDOM;11;4;3,7448002
RANDOM;11;5;3,55604818
RANDOM;11;6;3,21164062
RANDOM;11;7;2,80911291
RANDOM;11;8;3,03327472
RANDOM;11;9;2,89536368
RANDOM;11;10;2,15535537
RANDOM;11;11;0
RANDOM;11;12;2,3207641
RANDOM;11;13;2,8252817
RANDOM;12;1;3,83457358
RANDOM;12;2;3,84642001
RANDOM;12;3;3,85702525
RANDOM;12;4;3,91545538
RANDOM;12;5;3,83488802
RANDOM;12;6;3,39047992
RANDOM;12;7;2,84932617
RANDOM;12;8;3,13093477
RANDOM;12;9;3,27966812
RANDOM;12;10;2,86966954
RANDOM;12;11;2,3207641
RANDOM;12;12;0
RANDOM;12;13;2,35063925
RANDOM;13;1;3,83789989
RANDOM;13;2;3,87696824
RANDOM;13;3;3,85405145
RANDOM;13;4;3,84453421
RANDOM;13;5;3,78613632
RANDOM;13;6;3,48499843
RANDOM;13;7;2,91866746
RANDOM;13;8;3,17588637
RANDOM;13;9;3,31405385
RANDOM;13;10;3,09841996
RANDOM;13;11;2,8252817
RANDOM;13;12;2,35063925
RANDOM;13;13;0
